Name of the element,Reference of the element,"Type of the element, ignoring UDET, truncated to 4 or 6 characters",Component spec reference,PIPE,Position,,Etemp,Ntemp,Ntemp
ileave tube of =67132086/1523,=67132086/1523,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710032-66620M0-01",E 163200mm N 152215.5mm U 1336.5mm,,,,
PS-171020.2,=67132086/1524,ATTA,MDS/PIPE-REST.10-PMP,"MCK-MM-10""-P-1234-15011M1-",E2000.000mmN2000.000mm U 1000.000mm,,2000.000mm,2000.000mm,1000.000mm
PS-171020.4,=67132086/1525,ATTA,MDS/AN578-250-PMP,"MCK-MM-8""-B-5678-11402-HT",E3200.000mmN2000.000mm U 2381.000mm,,3200.000mm,2000.000mm,2381.000mm
ileave tube of /PS-171020.4,=67132086/1525,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710032-66620M0-01",E 163200mm N 152634.7mm U 1336.5mm,,,,
"FLANGE 4 of BRANCH /BTRM-1000-10""-P1710032-66620M0-01/B1",=67132086/1526,FLAN,66620M0r01-GAS1/WNFL-250,"MCK-MM-2""-A-1011-100123-HC",E7381 N14000 U 1619,,7381,14000,1619
"GASKET 5 of BRANCH /BTRM-1000-10""-P1710032-66620M0-01/B1",=67132086/1527,GASK,66620M0r01-GAS1/GKSW-250,"MCK-MM-2""-A-1011-100123-HC",E7381 N14000 U 1619,,7381,14000,1619
17-VBL-20032,=67132086/1528,VALV,66620M0r01-GAS1/BTRF-250,"BTRM-1000-10""-P1710032-66620M0-01",E 163200mm N 153478.1mm U 1336.5mm,,,,
"GASKET 6 of BRANCH /BTRM-1000-10""-P1710032-66620M0-01/B1",=67132086/1529,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710032-66620M0-01",E 163200mm N 153871.6mm U 1336.5mm,,,,
"PCOMPONENT 1 of BRANCH /BTRM-1000-10""-P1710032-66620M0-01/B1",=67132086/1530,PCOM,66620M0r01-GAS1/SPNF-250,"BTRM-1000-10""-P1710032-66620M0-01",E 163200mm N 153874.8mm U 1336.5mm,,,,
"GASKET 7 of BRANCH /BTRM-1000-10""-P1710032-66620M0-01/B1",=67132086/1531,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710032-66620M0-01",E 163200mm N 153909.9mm U 1336.5mm,,,,
"FLANGE 5 of BRANCH /BTRM-1000-10""-P1710032-66620M0-01/B1",=67132086/1532,FLAN,66620M0r01-GAS1/WNFL-250,"BTRM-1000-10""-P1710032-66620M0-01",E 163200mm N 153913.1mm U 1336.5mm,,,,
ileave tube of =67132086/1532,=67132086/1532,TUBI,66620M0r01-GAS1/PIPE-250,"MCK-MM-6""-B-12123-61440-PP",E4381.000mmN2000.000mm U 2762.000mm,,4381.000mm,2000.000mm,2762.000mm
PS-171023.2,=67132086/1533,ATTA,MDS/PIPE-REST.10-PMP,"BTRM-1000-10""-P1710032-66620M0-01",E 163200mm N 154263.397mm U 1336.5mm,,,,
PS-171023.6,=67132086/1534,ATTA,MDS/AN578-250-PMP,"BTRM-1000-10""-P1710032-66620M0-01",E 163200mm N 154263.397mm U 1336.5mm,,,,
PS-171023.4,=67132086/1535,ATTA,MDS/GT573-250-PMP,"BTRM-1000-10""-P1710032-66620M0-01",E 163200mm N 154263.397mm U 1336.5mm,,,,
ileave tube of /PS-171023.4,=67132086/1535,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710032-66620M0-01",E 163200mm N 154398.599mm U 1336.5mm,,,,
"OLET 2 of BRANCH /BTRM-1000-10""-P1710032-66620M0-01/B1",=67132086/1536,OLET,66620M0r01-GAS1/BR3B-250x50,"BTRM-1000-10""-P1710032-66620M0-01",E 163200mm N 154533.8mm U 1336.5mm,,,,
ileave tube of =67132086/1536,=67132086/1536,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710032-66620M0-01",E 163200mm N 154608.8mm U 1336.5mm,,,,
"TEE 1 of BRANCH /BTRM-1000-10""-P1710032-66620M0-01/B1",=67132086/1537,TEE,66620M0r01-GAS1/TEEB-250,"BTRM-1000-10""-P1710032-66620M0-01",E 163200mm N 154899.8mm U 1336.5mm,,,,
"FLANGE 6 of BRANCH /BTRM-1000-10""-P1710032-66620M0-01/B1",=67132086/1538,FLAN,66620M0r01-GAS1/WNFL-250,"BTRM-1000-10""-P1710032-66620M0-01",E 163200mm N 155274.8mm U 1336.5mm,,,,
"GASKET 8 of BRANCH /BTRM-1000-10""-P1710032-66620M0-01/B1",=67132086/1539,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710032-66620M0-01",E 163200mm N 155274.8mm U 1336.5mm,,,,
17-MOV-10005A,=67132086/1540,INST,SPCOM-INST-600#/MOVI-250,"BTRM-1000-10""-P1710032-66620M0-01",E 163200mm N 155671.5mm U 1336.5mm,,,,
"GASKET 9 of BRANCH /BTRM-1000-10""-P1710032-66620M0-01/B1",=67132086/1541,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710032-66620M0-01",E 163200mm N 156065mm U 1336.5mm,,,,
"FLANGE 7 of BRANCH /BTRM-1000-10""-P1710032-66620M0-01/B1",=67132086/1542,FLAN,66620M0r01-GAS1/WNFL-250,"BTRM-1000-10""-P1710032-66620M0-01",E 163200mm N 156068.2mm U 1336.5mm,,,,
ileave tube of =67132086/1542,=67132086/1542,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710032-66620M0-01",E 163200mm N 156667.6mm U 1336.5mm,,,,
PS-171024.1,=67132086/1543,ATTA,MDS/PIPE-REST.10-PMP,"BTRM-1000-10""-P1710032-66620M0-01",E 163200mm N 157108mm U 1336.5mm,,,,
PS-171024.6,=67132086/1544,ATTA,MDS/AN578-250-PMP,"BTRM-1000-10""-P1710032-66620M0-01",E 163200mm N 157108mm U 1336.5mm,,,,
ileave tube of /PS-171024.6,=67132086/1544,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710032-66620M0-01",E 163200mm N 157699.25mm U 1336.5mm,,,,
"ELBOW 3 of BRANCH /BTRM-1000-10""-P1710032-66620M0-01/B1",=67132086/1545,ELBO,66620M0r01-GAS1/E45B-250,"BTRM-1000-10""-P1710032-66620M0-01",E 163200mm N 158449.5mm U 1336.5mm,,,,
ileave tube of =67132086/1545,=67132086/1545,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710032-66620M0-01",E 163200mm N 158619.202mm U 1166.798mm,,,,
"BTRM-1000-10""-P1710032-66620M0-01/B2",=67132086/1546,BRAN,,"BTRM-1000-10""-P1710032-66620M0-01",,,,,
"REDUCER 1 of BRANCH /BTRM-1000-10""-P1710032-66620M0-01/B2",=67132086/1547,REDU,66620M0r01-GAS1/RECB-50x25,"BTRM-1000-10""-P1710032-66620M0-01",E 163200mm N 154533.8mm U 1161.9mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-10""-P1710032-66620M0-01/B2",=67132086/1548,FLAN,66620M0r01-GAS1/WNFL-25,"BTRM-1000-10""-P1710032-66620M0-01",E 163200mm N 154533.8mm U 1016.9mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-10""-P1710032-66620M0-01/B2",=67132086/1549,GASK,66620M0r01-GAS1/GKSW-25,"BTRM-1000-10""-P1710032-66620M0-01",E 163200mm N 154533.8mm U 1016.9mm,,,,
"VALVE 1 of BRANCH /BTRM-1000-10""-P1710032-66620M0-01/B2",=67132086/1550,VALV,66620M0r01-GAS1/BARFL-25,"BTRM-1000-10""-P1710032-66620M0-01",E 163200mm N 154533.8mm U 905.7mm,,,,
"GASKET 2 of BRANCH /BTRM-1000-10""-P1710032-66620M0-01/B2",=67132086/1551,GASK,66620M0r01-GAS1/GKSW-25,"BTRM-1000-10""-P1710032-66620M0-01",E 163200mm N 154533.8mm U 797.7mm,,,,
"FBLIND 1 of BRANCH /BTRM-1000-10""-P1710032-66620M0-01/B2",=67132086/1552,FBLI,66620M0r01-GAS1/BLFL-25,"BTRM-1000-10""-P1710032-66620M0-01",E 163200mm N 154533.8mm U 794.5mm,,,,
