Piping Class,Size,SCH,Wall thickness,Material_Name,PMSMat_Categories,PMSMat_Cat,Rating,Corrosion
11000,0.5,80,3.7338,ASTM A106-B,Carbon steel [A],CS,150,1
11000,0.75,80,3.9116,ASTM A106-B,Carbon steel [A],CS,150,1
11000,1,80,4.5466,ASTM A106-B,Carbon steel [A],CS,150,1
11000,1.5,80,5.08,ASTM A106-B,Carbon steel [A],CS,150,1
11000,2,40,3.9116,ASTM A106-B,Carbon steel [A],CS,150,1
11000,3,40,5.4864,ASTM A106-B,Carbon steel [A],CS,150,1
11000,4,40,6.0198,ASTM A106-B,Carbon steel [A],CS,150,1
11000,6,40,7.112,ASTM A106-B,Carbon steel [A],CS,150,1
11000,8,20,6.35,ASTM A106-B,Carbon steel [A],CS,150,1
11000,10,20,6.35,ASTM A106-B,Carbon steel [A],CS,150,1
11000,12,20,6.35,ASTM A106-B,Carbon steel [A],CS,150,1
11000,14,20,7.9248,ASTM A106-B,Carbon steel [A],CS,150,1
11000,16,20,7.9248,ASTM A106-B,Carbon steel [A],CS,150,1
11000,18,20,7.9248,ASTM A106-B,Carbon steel [A],CS,150,1
11000,20,20,9.525,ASTM A106-B,Carbon steel [A],CS,150,1
11000,24,20,9.525,ASTM A106-B,Carbon steel [A],CS,150,1
11000,16,20,7.9248,ASTM A672-C65 cl22,Carbon steel [A],CS,150,1
11000,18,20,7.9248,ASTM A672-C65 cl22,Carbon steel [A],CS,150,1
11000,20,20,9.525,ASTM A672-C65 cl22,Carbon steel [A],CS,150,1
11000,24,20,9.525,ASTM A672-C65 cl22,Carbon steel [A],CS,150,1
11000,4,40,6.0198,API 5L-B (sml),Carbon steel [A],CS,150,1
11000,6,40,7.112,API 5L-B (erw),Carbon steel [A],CS,150,1
11000,8,20,6.35,API 5L-B (erw),Carbon steel [A],CS,150,1
11000,10,20,6.35,API 5L-B (erw),Carbon steel [A],CS,150,1
11000,12,20,6.35,API 5L-B (erw),Carbon steel [A],CS,150,1
11000,14,20,7.9248,API 5L-B (erw),Carbon steel [A],CS,150,1
11000,16,20,7.9248,API 5L-B (erw),Carbon steel [A],CS,150,1
11000,18,20,7.9248,API 5L-B (erw),Carbon steel [A],CS,150,1
11000,20,20,9.525,API 5L-B (erw),Carbon steel [A],CS,150,1
11000,24,20,9.525,API 5L-B (saw),Carbon steel [A],CS,150,1
11001,0.5,80,3.7338,ASTM A106-B,Carbon steel,CS,150,1
11001,0.75,80,3.9116,ASTM A106-B,Carbon steel,CS,150,1
11001,1,80,4.5466,ASTM A106-B,Carbon steel,CS,150,1
11001,1.5,80,5.08,ASTM A106-B,Carbon steel,CS,150,1
11001,2,40,3.9116,ASTM A106-B,Carbon steel,CS,150,1
11001,3,40,5.4864,ASTM A106-B,Carbon steel,CS,150,1
11001,4,40,6.0198,ASTM A106-B,Carbon steel,CS,150,1
11001,6,40,7.112,ASTM A106-B,Carbon steel,CS,150,1
11001,8,20,6.35,ASTM A106-B,Carbon steel,CS,150,1
11001,10,20,6.35,ASTM A106-B,Carbon steel,CS,150,1
11001,12,20,6.35,ASTM A106-B,Carbon steel,CS,150,1
11001,14,20,7.9248,ASTM A106-B,Carbon steel,CS,150,1
11001,16,20,7.9248,ASTM A106-B,Carbon steel,CS,150,1
11001,18,20,7.9248,ASTM A106-B,Carbon steel,CS,150,1
11001,20,20,9.525,ASTM A106-B,Carbon steel,CS,150,1
11001,24,20,9.525,ASTM A106-B,Carbon steel,CS,150,1
11001,16,20,7.9248,ASTM A672-C65 cl22,Carbon steel,CS,150,1
11001,18,20,7.9248,ASTM A672-C65 cl22,Carbon steel,CS,150,1
11001,20,20,9.525,ASTM A672-C65 cl22,Carbon steel,CS,150,1
11001,24,20,9.525,ASTM A672-C65 cl22,Carbon steel,CS,150,1
11001,30,10,7.9248,ASTM A672-C65 cl22,Carbon steel,CS,150,1
11001,36,10,7.9248,ASTM A672-C65 cl22,Carbon steel,CS,150,1
11001,42,STD,9.525,ASTM A672-C65 cl22,Carbon steel,CS,150,1
11001,48,STD,9.525,ASTM A672-C65 cl22,Carbon steel,CS,150,1
11001,4,40,6.0198,API 5L-B (sml),Carbon steel,CS,150,1
11001,6,40,7.112,API 5L-B (erw),Carbon steel,CS,150,1
11001,8,20,6.35,API 5L-B (erw),Carbon steel,CS,150,1
11001,10,20,6.35,API 5L-B (erw),Carbon steel,CS,150,1
11001,12,20,6.35,API 5L-B (erw),Carbon steel,CS,150,1
11001,14,20,7.9248,API 5L-B (erw),Carbon steel,CS,150,1
11001,16,20,7.9248,API 5L-B (erw),Carbon steel,CS,150,1
11001,18,20,7.9248,API 5L-B (erw),Carbon steel,CS,150,1
11001,20,20,9.525,API 5L-B (erw),Carbon steel,CS,150,1
11001,24,20,9.525,API 5L-B (saw),Carbon steel,CS,150,1
11001-KS,0.5,80,3.7338,ASTM A333-6,Carbon steel F-Gr,CS,150,1
