,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,,43
,,,,,,,,,,,,,,,,,,MASTER LINE LIST,,,,,,,,,,,,,,,,,,,,,,,,
,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,"FOR GENERAL NOTES, HOLDS AND ABBREVIATIONS REFER SHEET-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Service,Line Number,From,To,PEFS Number,Unit,Fluid,Steam Out,Phase,AT WORKING CONDITIONS,,,,,,,,,Continuous /Intermitent,Nominal Pipe size ,Piping class,DESIGN CONDITIONS,,,,Material,Insulation Type,Insulation Thickness,Tracing,,Test Pressure ,Test Medium,External Coating,PWHT,Toxcity,Construction Class,Stress Critical Line,Remarks,Notes,Revision,,
,,,,,,,,,,Pressure,Temp.,Density,,,Visc.,Flow rate,,Velocity,,,,Pressure Max,Pressure Min,Temp. Max,Temp. Min  ,,,,Temp.,Type,,,,,,,,,,,,
,,,,,,,,,,,,Gas,Liquid,Mixed,Gas ,Gas ,Liquid,,,,,,,,,,,,,,,,,,,,,,,,,mock ll
,,,,,,,,,,kPa(g),ºC,kg/m³,kg/m³,kg/m³,cP ,MSm³/d,m³/hr,m/s ,,inch,,kPa(g),kPa(g),ºC,ºC,,,,ºC,,kPa(g),,,Y / N,Y / N,,Y / N,,,,,
B1110101,P,1234,11-RO-10101,Vent To Safe Location,BUD-11-PDFEED-PX-2365-00001-0001,11,HC,N,G,ATM,-43.84,1.09,-,-,0.008,0.032,-,64.31,I,10,15011M1,11000,FV,125,-5,LTCS,,,,,16500,-,PCS-1,No,Yes(A),Class-1b,No,refer to SP-2051 section 2.1 point 9 for the required testing ,"6,9,1",,,"MCK-MM-10""-P-1234-15011M1-"
,B,5678,11-RO-10102,"4""-B1110101-11503",BUD-11-PDFEED-PX-2365-00001-0001,11,Chemical,N,G,1700,34.25,-,-,-,-,-,NNF,-,I,8,11402,1800,FV,82,5,LTCS,HT,50,,,2940,Water,PCS-1,No,Yes(A),Class-1b,No,,,,,"MCK-MM-8""-B-5678-11402-HT"
B1110401,A,1011,11-RO-10401,Vent to Safe Location,TAY-11-PDFEED-PX-2365-00001-0001,11,HC,N,G,ATM,-40.46,1.053,-,-,0.009,0.066,-,129.25,I,2,100123,15000,FV,120,-20,LTCS,HC,30,,,100% MPT/ LPT,-,PCS-1,No,Yes(A),Class-1b,No,refer to SP-2051 section 2.1 point 9 for the required testing ,"6,9,1",,,"MCK-MM-2""-A-1011-100123-HC"
B1610001,B,12123,Oil Export Line Pig Launcher (L-161001),DBOOM Contractor Scope (TP-1612),BUD-16-PDFEED-PX-2365-00003-0001,16,HC,N,G,3000,60.0,-,-,-,-,NNF,-,-,I,6,61440,9200,FV,82,5,CS,PP,20,,,15315,Water,PCS-1,No,No,Class-3c,No,,6,,,"MCK-MM-6""-B-12123-61440-PP"
B1610004,B,1610004,Oil Export Line Pig Launcher (L-161001),"2""-B1610001-61440",BUD-16-PDFEED-PX-2365-00003-0001,16,HC,N,G,3000,60.0,-,-,-,-,NNF,-,-,I,2,61440,9200,FV,82,5,CS,,,,,15315,Water,PCS-1,No,No,Class-3c,No,,6,,,
B1610005,B,1610015,Oil Export Line Pig Receiver (R-161001),16-RO-10004,BUD-16-PDFEED-PX-2365-00004-0001,16,HC,N,G,2400,46,-,-,-,-,NNF,-,-,I,2,61440,9200,FV,82,5,CS,,,,,15315,Water,PCS-1,No,No,Class-3c,No,,6,,,
B1610014,B,1610017,16-RO-10004,Drain Pit (SCDP-161001),BUD-16-PDFEED-PX-2365-00004-0001,16,HC,N,G,ATM,46,-,-,-,-,NNF,-,-,I,4,11422,700,FV,82,5,CS,,,,,2940,Water,PCS-1,No,No,Class-3c,No,,6,,,
B1610015,B,1610018,Oil Export Line Pig Receiver (R-161001),"2""-B1610015-61440",BUD-16-PDFEED-PX-2365-00004-0001,16,HC,N,G,2400,46,-,-,-,-,NNF,-,-,I,2,61440,9200,FV,82,5,CS,,,,,15315,Water,PCS-1,No,No,Class-3c,No,,6,,,
B1610017,B,1610021,Gas Export Line Pig Launcher (L-161002),DBOOM Contractor Scope (TP-1615),BUD-16-PDFEED-PX-2365-00005-0001,16,HC,N,G,9700.0,60,78,-,-,0.015,0.040,-,2,I,2,91482A1,11000,FV,82,-50,LTCS,,,,,22035,Water,PCS-1,No,No,Class-3c,No,,,,,
B1610018,B,1610024,Gas Export Line Pig Launcher (L-161002),"2""-B1610021-91482A1",BUD-16-PDFEED-PX-2365-00005-0001,16,HC,N,G,9700.0,60,78,-,-,0.015,0.040,-,2,I,2,91482A1,11000,FV,82,-50,LTCS,,,,,22035,Water,PCS-1,No,No,Class-3c,No,,,,,
B1610021,B,1610025,"8""-P1610023-91482A1","2""-B1610026-91482A1",BUD-16-PDFEED-PX-2365-00005-0001,16,HC,N,G,9700.0,60,75.3,-,-,0.015,0.93,-,47.9,I,2,91482A1,11000,FV,82,-50,LTCS,,,,,22035,Water,PCS-1,No,No,Class-3c,No,,,,,
