Type,NSfraction,DN,RF-F/F,RTJ F/F,BW-F/F,RF/RTJ KG,BW KG,Rating,NS,TypeDesc,TypeNum
SB,2,50,6,0,0,1,0,150,2,SPECTACLE BLIND,
SB,3,80,6,0,0,1,0,150,3,SPECTACLE BLIND,
SB,4,100,10,0,0,3,0,150,4,SPECTACLE BLIND,
SB,6,150,13,0,0,5,0,150,6,SPECTACLE BLIND,
SB,8,200,13,0,0,8,0,150,8,SPECTACLE BLIND,
SB,10,250,16,0,0,15,0,150,10,SPECTACLE BLIND,
SB,12,300,19,0,0,26,0,150,12,SPECTACLE BLIND,
SB,14,350,19,0,0,32,0,150,14,SPECTACLE BLIND,
SB,16,400,22,0,0,48,0,150,16,SPECTACLE BLIND,
SB,18,450,25,0,0,59,0,150,18,SPECTACLE BLIND,
SB,20,500,28,0,0,80,0,150,20,SPECTACLE BLIND,
SB,24,600,32,0,0,125,0,150,24,SPECTACLE BLIND,
SB,2,50,10,0,0,1,0,300,2,SPECTACLE BLIND,
SB,3,80,10,0,0,2,0,300,3,SPECTACLE BLIND,
SB,4,100,13,0,0,4,0,300,4,SPECTACLE BLIND,
SB,6,150,16,0,0,9,0,300,6,SPECTACLE BLIND,
SB,8,200,22,0,0,18,0,300,8,SPECTACLE BLIND,
SB,10,250,25,0,0,28,0,300,10,SPECTACLE BLIND,
SB,12,300,28,0,0,42,0,300,12,SPECTACLE BLIND,
SB,14,350,32,0,0,66,0,300,14,SPECTACLE BLIND,
SB,16,400,38,0,0,95,0,300,16,SPECTACLE BLIND,
SB,18,450,41,0,0,123,0,300,18,SPECTACLE BLIND,
SB,20,500,44,0,0,157,0,300,20,SPECTACLE BLIND,
SB,24,600,51,0,0,253,0,300,24,SPECTACLE BLIND,
SB,2,50,10,0,0,1,0,600,2,SPECTACLE BLIND,
SB,3,80,13,0,0,3,0,600,3,SPECTACLE BLIND,
SB,4,100,16,0,0,6,0,600,4,SPECTACLE BLIND,
SB,6,150,22,0,0,15,0,600,6,SPECTACLE BLIND,
SB,8,200,28,0,0,27,0,600,8,SPECTACLE BLIND,
SB,10,250,35,0,0,52,0,600,10,SPECTACLE BLIND,
SB,12,300,41,0,0,78,0,600,12,SPECTACLE BLIND,
SB,14,350,44,0,0,96,0,600,14,SPECTACLE BLIND,
SB,16,400,51,0,0,146,0,600,16,SPECTACLE BLIND,
SB,18,450,54,0,0,178,0,600,18,SPECTACLE BLIND,
SB,20,500,64,0,0,262,0,600,20,SPECTACLE BLIND,
SB,24,600,73,0,0,390,0,600,24,SPECTACLE BLIND,
SB,2,50,32,0,0,5,0,900,2,SPECTACLE BLIND,
SB,3,80,35,0,0,9,0,900,3,SPECTACLE BLIND,
SB,4,100,41,0,0,13,0,900,4,SPECTACLE BLIND,
SB,6,150,48,0,0,26,0,900,6,SPECTACLE BLIND,
SB,8,200,57,0,0,49,0,900,8,SPECTACLE BLIND,
SB,10,250,64,0,0,73,0,900,10,SPECTACLE BLIND,
SB,12,300,73,0,0,109,0,900,12,SPECTACLE BLIND,
SB,14,350,83,0,0,155,0,900,14,SPECTACLE BLIND,
SB,16,400,92,0,0,214,0,900,16,SPECTACLE BLIND,
SB,18,450,102,0,0,307,0,900,18,SPECTACLE BLIND,
SB,20,500,111,0,0,391,0,900,20,SPECTACLE BLIND,
SB,24,600,133,0,0,660,0,900,24,SPECTACLE BLIND,
SB,2,50,35,0,0,6,0,1500,2,SPECTACLE BLIND,
SB,3,80,44,0,0,13,0,1500,3,SPECTACLE BLIND,
SB,4,100,48,0,0,18,0,1500,4,SPECTACLE BLIND,
SB,6,150,60,0,0,34,0,1500,6,SPECTACLE BLIND,
SB,8,200,73,0,0,68,0,1500,8,SPECTACLE BLIND,
SB,10,250,83,0,0,101,0,1500,10,SPECTACLE BLIND,
SB,12,300,102,0,0,172,0,1500,12,SPECTACLE BLIND,
SB,14,350,111,0,0,236,0,1500,14,SPECTACLE BLIND,
SB,16,400,124,0,0,324,0,1500,16,SPECTACLE BLIND,
SB,18,450,133,0,0,437,0,1500,18,SPECTACLE BLIND,
VLV5,32,800,,,,3784,3060,300,32,Flanged Swing check Valve,
VLV5,34,850,,,,4088,3315,300,34,Flanged Swing check Valve,
VLV5,36,900,2083,2111,2083,4569,3655,300,36,Flanged Swing check Valve,
VLV5,0+1/2,15,165,165,,6,5,600,0.5,Flanged Swing check Valve,
VLV5,0+3/4,20,190,190,,11,9,600,0.75,Flanged Swing check Valve,
VLV5,1,25,216,216,133,16,13,600,1,Flanged Swing check Valve,
VLV5,1+1/4,32,229,229,146,27,22,600,1.5,Flanged Swing check Valve,
VLV5,1+1/2,40,241,241,152,40,33,600,1.25,Flanged Swing check Valve,
VLV5,2,50,292,295,178,54,45,600,2,Flanged Swing check Valve,
VLV5,2+1/2,65,330,333,216,66,54,600,2.5,Flanged Swing check Valve,
VLV5,3,80,356,359,254,78,64,600,3,Flanged Swing check Valve,
VLV5,4,100,432,435,305,128,104,600,4,Flanged Swing check Valve,
VLV5,5,125,508,511,381,178,148,600,5,Flanged Swing check Valve,
VLV5,6,150,559,562,457,240,193,600,6,Flanged Swing check Valve,
VLV5,8,200,660,663,584,363,294,600,8,Flanged Swing check Valve,
VLV5,10,250,787,790,711,659,534,600,10,Flanged Swing check Valve,
VLV5,12,300,838,841,813,836,677,600,12,Flanged Swing check Valve,
VLV5,14,350,889,892,,944,759,600,14,Flanged Swing check Valve,
VLV5,16,400,991,994,,1268,1020,600,16,Flanged Swing check Valve,
VLV5,18,450,1092,1095,,1686,1360,600,18,Flanged Swing check Valve,
VLV5,20,500,1194,1200,,2526,2057,600,20,Flanged Swing check Valve,
VLV5,22,550,1295,1305,,3000,2300,600,22,Flanged Swing check Valve,
VLV5,24,600,1397,1407,,3311,2678,600,24,Flanged Swing check Valve,
VLV5,26,650,1448,1448,,3704,2975,600,26,Flanged Swing check Valve,
VLV5,0+1/4,8,102,102,102,5,5,150,0.25,Flanged Swing check Valve,
VLV5,0+3/8,10,102,102,102,5,5,150,0.375,Flanged Swing check Valve,
VLV5,0+1/2,15,108,108,108,5,5,150,0.5,Flanged Swing check Valve,
VLV5,0+3/4,20,117,117,117,7,6,150,0.75,Flanged Swing check Valve,
VLV5,1,25,127,140,127,10,9,150,1,Flanged Swing check Valve,
VLV5,1+1/4,32,140,153,140,16,13,150,1.5,Flanged Swing check Valve,
VLV5,1+1/2,40,165,178,165,19,16,150,1.25,Flanged Swing check Valve,
VLV5,2,50,203,216,203,20,17,150,2,Flanged Swing check Valve,
VLV5,2+1/2,65,216,229,216,27,22,150,2.5,Flanged Swing check Valve,
VLV5,3,80,241,254,241,30,25,150,3,Flanged Swing check Valve,
VLV5,4,100,292,305,292,50,41,150,4,Flanged Swing check Valve,
VLV5,5,125,330,343,330,72,59,150,5,Flanged Swing check Valve,
VLV5,6,150,356,369,356,80,66,150,6,Flanged Swing check Valve,
VLV5,8,200,495,508,495,136,113,150,8,Flanged Swing check Valve,
VLV5,10,250,622,635,622,273,226,150,10,Flanged Swing check Valve,
VLV5,12,300,698,711,698,355,295,150,12,Flanged Swing check Valve,
VLV5,14,350,787,800,787,462,384,150,14,Flanged Swing check Valve,
VLV5,16,400,864,877,864,571,473,150,16,Flanged Swing check Valve,
VLV6,2,50,60,,,3,,150,2,Flanged wafer Valve,
VLV6,3,80,73,,,7,,150,3,Flanged wafer Valve,
VLV6,4,100,73,,,8,,150,4,Flanged wafer Valve,
VLV6,6,150,98,,,18,,150,6,Flanged wafer Valve,
VLV6,8,200,127,,,32,,150,8,Flanged wafer Valve,
VLV6,10,250,146,,,53,,150,10,Flanged wafer Valve,
VLV6,12,300,181,,,98,,150,12,Flanged wafer Valve,
VLV6,14,350,184,,,100,,150,14,Flanged wafer Valve,
VLV6,16,400,190,,,134,,150,16,Flanged wafer Valve,
VLV6,18,450,203,,,144,,150,18,Flanged wafer Valve,
